{'loss': 0.7316, 'learning_rate': 2.209064776815577e-05, 'epoch': 1.73}
{'loss': 0.7313, 'learning_rate': 2.1977654439281907e-05, 'epoch': 1.74}
{'loss': 0.7355, 'learning_rate': 2.1864661110408042e-05, 'epoch': 1.74}
{'loss': 0.731, 'learning_rate': 2.175166778153418e-05, 'epoch': 1.75}
{'loss': 0.7303, 'learning_rate': 2.1638674452660315e-05, 'epoch': 1.76}
{'loss': 0.7297, 'learning_rate': 2.1525681123786453e-05, 'epoch': 1.76}
{'loss': 0.7257, 'learning_rate': 2.1412687794912588e-05, 'epoch': 1.77}
{'loss': 0.7288, 'learning_rate': 2.1299694466038726e-05, 'epoch': 1.78}
{'loss': 0.7348, 'learning_rate': 2.1186701137164864e-05, 'epoch': 1.78}
{'loss': 0.7269, 'learning_rate': 2.1073707808291e-05, 'epoch': 1.79}
{'loss': 0.7294, 'learning_rate': 2.0960714479417137e-05, 'epoch': 1.8}
{'loss': 0.73, 'learning_rate': 2.0847721150543272e-05, 'epoch': 1.8}
{'loss': 0.7308, 'learning_rate': 2.073472782166941e-05, 'epoch': 1.81}
{'loss': 0.7298, 'learning_rate': 2.0621734492795548e-05, 'epoch': 1.82}
{'loss': 0.7265, 'learning_rate': 2.0508741163921683e-05, 'epoch': 1.82}
{'loss': 0.7284, 'learning_rate': 2.039574783504782e-05, 'epoch': 1.83}
{'loss': 0.7246, 'learning_rate': 2.0282754506173956e-05, 'epoch': 1.84}
{'loss': 0.7291, 'learning_rate': 2.016976117730009e-05, 'epoch': 1.84}
{'loss': 0.721, 'learning_rate': 2.005676784842623e-05, 'epoch': 1.85}
{'loss': 0.7262, 'learning_rate': 1.9943774519552367e-05, 'epoch': 1.86}
{'loss': 0.7231, 'learning_rate': 1.9830781190678505e-05, 'epoch': 1.86}
{'loss': 0.727, 'learning_rate': 1.971778786180464e-05, 'epoch': 1.87}
{'loss': 0.7263, 'learning_rate': 1.9604794532930775e-05, 'epoch': 1.87}
{'loss': 0.7265, 'learning_rate': 1.9491801204056913e-05, 'epoch': 1.88}
{'loss': 0.7245, 'learning_rate': 1.937880787518305e-05, 'epoch': 1.89}
{'loss': 0.7195, 'learning_rate': 1.9265814546309186e-05, 'epoch': 1.89}
{'loss': 0.7257, 'learning_rate': 1.9152821217435324e-05, 'epoch': 1.9}
{'loss': 0.7317, 'learning_rate': 1.903982788856146e-05, 'epoch': 1.91}
{'loss': 0.7254, 'learning_rate': 1.8926834559687597e-05, 'epoch': 1.91}
{'loss': 0.7207, 'learning_rate': 1.8813841230813732e-05, 'epoch': 1.92}
{'loss': 0.7244, 'learning_rate': 1.870084790193987e-05, 'epoch': 1.93}
{'loss': 0.7237, 'learning_rate': 1.8587854573066008e-05, 'epoch': 1.93}
{'loss': 0.7206, 'learning_rate': 1.8474861244192143e-05, 'epoch': 1.94}
{'loss': 0.7216, 'learning_rate': 1.836186791531828e-05, 'epoch': 1.95}
{'loss': 0.7261, 'learning_rate': 1.8248874586444416e-05, 'epoch': 1.95}
{'loss': 0.7211, 'learning_rate': 1.8135881257570554e-05, 'epoch': 1.96}
{'loss': 0.7246, 'learning_rate': 1.8022887928696692e-05, 'epoch': 1.97}
{'loss': 0.7237, 'learning_rate': 1.7909894599822827e-05, 'epoch': 1.97}
